Country,Doses administered per 100 people,Total doses administered,% of population vaccinated,% of population fully vaccinated
Afghanistan,33,12526397,30,28
Albania,106,3025728,47,44
Algeria,35,15267442,18,15
Angola,74,23701049,47,26
Argentina,252,113272665,92,84
Armenia,73,2150112,38,33
Aruba,164,174215,85,79
Australia,251,63634307,88,85
Austria,228,20263306,78,77
Azerbaijan,138,13857111,54,49
Bahamas,94,364701,45,43
Bahrain,212,3476633,76,75
Bangladesh,211,344352422,92,79
Barbados,133,381013,57,54
Belarus,183,17358735,69,68
Belgium,258,29593429,81,80
Belize,129,501952,65,57
Benin,36,4232541,31,23
Bhutan,264,2011426,92,89
Bolivia,128,14690530,64,54
Bosnia and Herzegovina,58,1924950,29,26
Botswana,135,3121142,73,62
Brazil,229,482332527,89,83
Brunei,296,1283392,99,99
Bulgaria,66,4605190,30,30
Burkina Faso,25,5117982,21,16
Burundi,0,30480,2,2
Cambodia,274,45217130,92,89
Cameroon,15,3998508,14,12
Canada,257,96657606,92,84
Cape Verde,156,859940,65,56
Central African Republic,50,2354281,42,41
Chad,24,3891785,24,23
Chile,330,62630785,95,93
Colombia,179,90046356,85,73
Comoros,98,835021,52,47
Congo,20,17435502,10,7.8
Costa Rica,251,12666724,91,85
Croatia,132,5356912,57,55
Cuba,379,42902003,95,88
Curaçao,163,256029,69,63
Cyprus,150,1797542,56,54
Czech Republic,174,18600667,65,65
Denmark,226,13164483,82,82
Djibouti,35,338051,33,31
Dominican Rep.,151,16185178,68,57
Ecuador,227,39357012,88,82
Egypt,101,101068826,54,40
El Salvador,175,11289175,72,67
Equatorial Guinea,36,488738,20,16
Estonia,159,2103130,65,64
Eswatini,67,773579,44,43
Ethiopia,47,52509414,38,33
Fiji,174,1551808,80,72
Finland,238,13160054,82,79
France,229,153788820,81,79
French Polynesia,178,497169,68,67
Gabon,26,572672,14,12
Gambia,35,815861,23,19
Georgia,79,2930677,44,34
Germany,229,190625555,78,76
Ghana,70,21400939,40,30
Greece,206,22059587,74,71
Grenada,81,90507,39,35
Guatemala,120,20004849,53,42
Guinea,69,8749048,48,26
Guinea-Bissau,35,673091,33,21
Guyana,122,953690,63,49
Haiti,4,512556,4,2
Honduras,173,16850623,66,59
Hong Kong,275,20462274,93,91
Hungary,171,16701238,66,64
Iceland,223,805469,86,80
India,161,2201655453,75,70
Indonesia,165,447461191,75,65
Iran,187,154773070,79,71
Iraq,50,19557364,29,20
Ireland,225,11098406,83,82
Israel,206,18623802,74,68
Italy,238,143542826,84,80
Ivory Coast,92,23755644,51,45
Jamaica,51,1508319,29,25
Japan,296,374040614,83,82
Jordan,100,10057975,48,45
Kazakhstan,113,20918681,59,57
Kenya,44,23063539,27,21
Kiribati,165,193491,82,63
Kosovo,100,1837224,49,45
Kuwait,196,8256563,82,79
Kyrgyzstan,52,3383537,25,21
Laos,155,11111066,82,73
Latvia,151,2895716,70,68
Lebanon,85,5814699,40,35
Lesotho,59,1259488,47,44
Liberia,90,4460668,79,76
Libya,55,3716080,34,18
Lithuania,163,4541773,70,67
Luxembourg,221,1371892,78,75
Macau,284,1791888,99,99
Madagascar,8,2379808,8,7
Mainland China,250,3488058000,94,91
Malawi,34,6367571,25,20
Malaysia,227,72447190,88,86
Maldives,179,951419,75,73
Mali,22,4345592,16,13
Malta,274,1378418,95,94
Mauritania,90,4053878,46,34
Mauritius,206,2612729,89,86
Mexico,176,225063079,78,65
Moldova,85,2266205,42,40
Mongolia,170,5492919,70,67
Montenegro,109,679171,47,46
Morocco,152,55363895,69,64
Mozambique,96,29140427,61,61
Myanmar,119,64549994,64,51
Namibia,39,972893,24,21
Nepal,211,60403215,96,84
Netherlands,208,36104942,74,69
New Caledonia,166,478127,67,64
New Zealand,243,11962926,87,84
Nicaragua,186,12144072,94,91
Niger,31,7187711,26,23
Nigeria,51,102292641,36,30
North Macedonia,89,1862610,41,40
Norway,227,12145560,81,76
Oman,142,7086050,65,61
Pakistan,147,317696373,71,61
Panama,205,8696911,83,75
Papua New Guinea,8,711981,4,4
Paraguay,135,9514267,56,50
Peru,267,86812329,93,87
Philippines,157,169779996,72,68
Poland,152,57837829,60,60
Portugal,270,27762439,95,87
Qatar,268,7603722,99,99
Republic of the Congo,15,833210,13,12
Romania,87,16827486,42,42
Russia,128,184226161,61,55
Rwanda,207,26106436,84,73
Saint Lucia,67,122977,33,30
Saint Vincent and the Grenadines,66,73301,34,29
Samoa,228,449439,97,90
São Tomé and Príncipe,106,227825,59,48
Saudi Arabia,199,68148406,79,74
Senegal,17,2709648,12,8
Serbia,123,8534688,48,47
Sierra Leone,79,6158679,55,44
Singapore,258,14727569,91,90
Slovakia,106,5754313,48,47
Slovenia,144,2996643,61,59
Solomon Islands,93,625956,51,38
Somalia,57,8726329,50,42
South Africa,65,38050611,41,36
South Korea,251,129647782,87,86
South Sudan,21,2310167,20,20
Spain,222,104536856,88,87
Sri Lanka,184,40116590,79,68
Sudan,32,13711970,25,19
Suriname,87,505699,46,41
Sweden,248,25537528,76,74
Switzerland,197,16886862,71,70
Syria,29,4940436,19,13
Taiwan,272,64721772,92,87
Tajikistan,202,18871161,57,55
Tanzania,62,35994687,54,50
Thailand,205,142635014,82,77
Timor-Leste,153,1984560,68,61
Togo,42,3396543,28,18
Tonga,199,207744,88,74
Trinidad and Tobago,113,1580898,54,51
Tunisia,113,13241221,62,55
Turkey,183,152543341,69,64
Turkmenistan,139,8286809,63,62
U.A.E.,255,24922054,99,99
U.K.,226,151248820,81,76
Uganda,59,26299538,43,29
Ukraine,71,31668577,36,34
United States,191,632905664,80,68
Uruguay,255,8832620,87,84
Uzbekistan,214,71888007,63,53
Vanuatu,98,293584,48,44
Venezuela,133,37860994,78,52
Vietnam,275,265336568,94,89
West Bank & Gaza,80,3748571,43,38
Yemen,4,1242982,4,3
Zambia,71,12655676,60,48
Zimbabwe,83,12222754,44,32
